Codigo;nombre;unidad;Nombre de la Bodega;Ubicacion;id bodega;id minimo y maximo ;Saldo;Costo ;Lote;TOTAL
001-003-00033;Tea Collection Caja Amarilla;Unidad;Paseo;NULL;4;NULL;0,00;0,3;NULL;0
001-003-00034;Tapa Lata Pequeña;Unidad;Paseo;NULL;4;NULL;0,00;0,00001;NULL;0
001-003-00035;Vaso Degustación;Unidad;Paseo;NULL;4;NULL;37,00;0,04;NULL;1,48
001-003-00036;Caja Kit Matcha Madera Vacia;Unidad;Paseo;NULL;4;NULL;3,00;2,4;NULL;7,2
001-003-00037;Caja Madera 4 Latitas Vacia;Unidad;Paseo;NULL;4;NULL;0,00;2,4;NULL;0
001-003-00038;Cilindro 4 Latitas Vacio;Unidad;Paseo;NULL;4;NULL;0,00;6,5;NULL;0
001-003-00039;Etiqueta Grande Rosaline Night;Unidad;Paseo;NULL;4;NULL;19,00;0,04;NULL;0,76
001-003-00040;Etiqueta Grande Tropical Fusion;Unidad;Paseo;NULL;4;NULL;4,00;0,04;NULL;0,16
001-003-00041;Etiqueta Grande  Orange Star;Unidad;Paseo;NULL;4;NULL;10,00;0,04;NULL;0,4
001-003-00042;Etiqueta Grande Golden Rooibos;Unidad;Paseo;NULL;4;NULL;7,00;0,04;NULL;0,28
001-003-00043;Etiqueta Grande Green Jade;Unidad;Paseo;NULL;4;NULL;8,00;0,04;NULL;0,32
001-003-00044;Etiqueta Grande Flowers Y Kisses;Unidad;Paseo;NULL;4;NULL;4,00;0,04;NULL;0,16
001-003-00045;Etiqueta Grande Lavender Mint;Unidad;Paseo;NULL;4;NULL;0,00;0,04;NULL;0
001-003-00046;Etiqueta Grande Mystic Rose;Unidad;Paseo;NULL;4;NULL;10,00;0,04;NULL;0,4
001-003-00047;Etiqueta Grande Butterfly Floral;Unidad;Paseo;NULL;4;NULL;7,00;0,04;NULL;0,28
001-003-00048;Etiqueta Grande Milky Oolong;Unidad;Paseo;NULL;4;NULL;15,00;0,04;NULL;0,6
001-003-00049;Etiqueta Grande Caribbean Punch;Unidad;Paseo;NULL;4;NULL;15,00;0,04;NULL;0,6
001-003-00050;Cofres 6 Espacios Con Tapa;Unidad;Paseo;NULL;4;NULL;0,00;6;NULL;0
001-003-00051;Divisiones De Carton;Unidad;Paseo;NULL;4;NULL;0,00;0,03;NULL;0
001-003-00052;Frascos Para Bubbletea;Unidad;Paseo;NULL;4;NULL;0,00;0,49;NULL;0
001-003-00053;Funda Dorada 13x21;Unidad;Paseo;NULL;4;NULL;0,00;0,05;NULL;0
001-003-00054;Funda Eco Food Tippytea (500);Unidad;Paseo;NULL;4;NULL;0,00;0,02594;NULL;0
001-003-00055;Funda Plateada Antigua 13x21;Unidad;Paseo;NULL;4;NULL;0,00;0,11;NULL;0
001-003-00056;Funda Mate;Unidad;Paseo;NULL;4;NULL;0,00;0,34;NULL;0
001-003-00057;Funda Tippytea Amarilla 50gr;Unidad;Paseo;NULL;4;NULL;0,00;0,49;NULL;0
001-003-00058;Funda Zipper Transparente Grande 9x13;Unidad;Paseo;NULL;4;NULL;0,00;0,125;NULL;0
001-003-00059;Funda Zipper Transparente Mediana 8x9,5;Unidad;Paseo;NULL;4;NULL;0,00;0,078;NULL;0
001-003-00060;Funda Zipper Transparente Pequena 5,5x7;Unidad;Paseo;NULL;4;NULL;0,00;0,048;NULL;0
001-003-00061;Funda Negra Kfc;Unidad;Paseo;NULL;4;NULL;0,00;0,61;NULL;0
001-003-00062;Funda Kraft 10 X 18;Unidad;Paseo;NULL;4;NULL;0,00;0,11;NULL;0
001-003-00063;Funda Kraft Matcha 13 X 21;Unidad;Paseo;NULL;4;NULL;0,00;0,11;NULL;0
001-003-00064;Funda Plateada 25x44;Unidad;Paseo;NULL;4;NULL;0,00;0,59;NULL;0
001-003-00065;Funda Plateada 19x27;Unidad;Paseo;NULL;4;NULL;0,00;0,16;NULL;0
001-003-00066;Funda Transparente 13x21;Unidad;Paseo;NULL;4;NULL;0,00;0,09;NULL;0
001-003-00067;Funda Transparente 10x18;Unidad;Paseo;NULL;4;NULL;0,00;0,08;NULL;0
001-003-00068;Funda Tisana Frutos Rojos;Unidad;Paseo;NULL;4;NULL;0,00;0,02;NULL;0
001-003-00069;Funda Tisana Naranja;Unidad;Paseo;NULL;4;NULL;0,00;0,02;NULL;0
001-003-00070;Funda Tisana Manzana;Unidad;Paseo;NULL;4;NULL;0,00;0,02;NULL;0
001-003-00071;Funda Tisana Pina;Unidad;Paseo;NULL;4;NULL;0,00;0,02;NULL;0
001-003-00072;Piramides Tippytea;Unidad;Paseo;NULL;4;NULL;0,00;0,23;NULL;0
001-003-00073;Rollos Para Sachets Nuevos Amarillos Tippytea;Unidad;Paseo;NULL;4;NULL;0,00;0,02;NULL;0
001-003-00074;Rollos  Zebra 64x102 (1 Fila);Unidad;Paseo;NULL;4;NULL;0,00;0,0088;NULL;0
001-003-00075;Rollos Zebra 25x40 (3 Filas);Unidad;Paseo;NULL;4;NULL;0,00;0,00022;NULL;0
001-003-00076;Rollos Zebra 15x32 (2 Filas);Unidad;Paseo;NULL;4;NULL;0,00;0,0003;NULL;0
001-003-00077;Rollos Impresora 60 X 15;Unidad;Paseo;NULL;4;NULL;0,00;0,004;NULL;0
001-003-00078;Rollos Impresora 3x1;Unidad;Paseo;NULL;4;NULL;0,00;0,03;NULL;0
001-003-00079;Rollos Impresora 3x 2;Unidad;Paseo;NULL;4;NULL;0,00;0,1034;NULL;0
001-003-00080;Rollos Impresora 4 X 3;Unidad;Paseo;NULL;4;NULL;0,00;0,088;NULL;0
001-003-00081;Rollos Impresora 3x 5;Unidad;Paseo;NULL;4;NULL;0,00;0,06;NULL;0
001-003-00082;Rollos Impresora 4x 6;Unidad;Paseo;NULL;4;NULL;0,00;0,05;NULL;0
001-003-00083;Rollos Impresora 2x 2;Unidad;Paseo;NULL;4;NULL;0,00;0,03;NULL;0
001-003-00084;Rollos Tippytea;Unidad;Paseo;NULL;4;NULL;0,00;0,013;NULL;0
001-003-00085;Rollos Pads 20cm;Unidad;Paseo;NULL;4;NULL;0,00;11,77;NULL;0
001-003-00086;Rollos Pads 12cm;Unidad;Paseo;NULL;4;NULL;0,00;18,09;NULL;0
001-003-00087;Rollos Tag Blancos;Unidad;Paseo;NULL;4;NULL;0,00;6,97;NULL;0
001-003-00088;Rollo De Nylon Sin Tag;Unidad;Paseo;NULL;4;NULL;0,00;0,03;NULL;0
001-003-00089;Rollo Kraft Maquina Nueva;Unidad;Paseo;NULL;4;NULL;0,00;7,44;NULL;0
001-003-00090;Rollo Blanco Maquina Nueva;Unidad;Paseo;NULL;4;NULL;0,00;6,94;NULL;0
001-003-00091;Rollo Hilo De Algodon;Unidad;Paseo;NULL;4;NULL;0,00;6,94;NULL;0
001-003-00092;Rollo Fiorana Kraft;Unidad;Paseo;NULL;4;NULL;0,00;7,44;NULL;0
001-003-00093;Rollo Fiorana Rojo;Unidad;Paseo;NULL;4;NULL;0,00;7,44;NULL;0
001-003-00094;Rollo Generico Fiorana;Unidad;Paseo;NULL;4;NULL;0,00;6,97;NULL;0
001-003-00095;Rollo Sweet And Coffe;Unidad;Paseo;NULL;4;NULL;0,00;0,014;NULL;0
001-003-00096;Sobres Plasticos Tizanas;Unidad;Paseo;NULL;4;NULL;0,00;0,018;NULL;0
001-003-00097;Tea Collection Tapa Transparente;Unidad;Paseo;NULL;4;NULL;0,00;0,00001;NULL;0
001-003-00098;Tea Collection Base Azul;Unidad;Paseo;NULL;4;NULL;0,00;0,00001;NULL;0
001-003-00099;Tubos Acetato Para Latita X8;Unidad;Paseo;NULL;4;NULL;0,00;4,5;NULL;0
001-003-00100;Tubos Acetato Para Latita X4;Unidad;Paseo;NULL;4;NULL;0,00;6,5;NULL;0
001-003-00101;Caja Aromatica Vacia;Unidad;Paseo;NULL;4;NULL;0,00;0,13;NULL;0
001-003-00102;Caja Aromatica Flores De Manzanilla;Unidad;Paseo;NULL;4;NULL;0,00;0,13;NULL;0
001-003-00103;Caja Aromatica Hierbabuena;Unidad;Paseo;NULL;4;NULL;0,00;0,13;NULL;0
001-003-00104;Doypac Vacio;Unidad;Paseo;NULL;4;NULL;0,00;0,23;NULL;0
001-003-00105;Doypac Lemon Ginger;Unidad;Paseo;NULL;4;NULL;0,00;0,23;NULL;0
001-003-00106;Doypac Chamomile;Unidad;Paseo;NULL;4;NULL;0,00;0,23;NULL;0
001-003-00107;Doypac Berry Berry;Unidad;Paseo;NULL;4;NULL;0,00;0,23;NULL;0
001-003-00108;Funda Amarilla 50 Gr Matcha Culinario;Unidad;Paseo;NULL;4;NULL;0,00;0,34;NULL;0
001-003-00109;Funda Amarilla 50 Gr Pink Matcha;Unidad;Paseo;NULL;4;NULL;0,00;0,34;NULL;0
001-003-00110;Funda Amarilla 100 Gr Chai Latte Mix;Unidad;Paseo;NULL;4;NULL;0,00;0,31;NULL;0
001-003-00111;Funda Amarilla 100 Gr Pink Lemonade;Unidad;Paseo;NULL;4;NULL;0,00;0,31;NULL;0
001-003-00112;Funda Amarilla 100 Gr Te Negro Y Limon;Unidad;Paseo;NULL;4;NULL;0,00;0,34;NULL;0
001-003-00113;Lata Para Matcha Colores  30gr;Unidad;Paseo;NULL;4;NULL;0,00;0,02;NULL;0
001-003-00114;Etiquetas Aromaticas Anis;Unidad;Paseo;NULL;4;NULL;0,00;0,02;NULL;0
001-003-00115;Etiquetas Aromaticas Cedron;Unidad;Paseo;NULL;4;NULL;0,00;0,02;NULL;0
001-003-00116;Etiquetas Aromaticas Flores De Manzanilla;Unidad;Paseo;NULL;4;NULL;0,00;0,02;NULL;0
001-003-00117;Etiquetas Aromaticas Guayusa;Unidad;Paseo;NULL;4;NULL;0,00;0,02;NULL;0
001-003-00118;Etiquetas Aromaticas Hierbabuena;Unidad;Paseo;NULL;4;NULL;0,00;0,02;NULL;0
