Codigo;nombre;unidad;Nombre de la Bodega;Ubicacion;id bodega;id minimo y maximo ;Saldo;Costo ;Lote;TOTAL
001-003-00034;Tapa Lata Pequeña;Unidad;Planta;NULL;1;NULL;21611,00;0,2400;NULL;5186,64
001-003-00035;Vaso Degustación;Unidad;Planta;NULL;1;NULL;641,00;0,0400;NULL;25,64
001-003-00036;Caja Kit Matcha Madera Vacia;Unidad;Planta;NULL;1;NULL;0,00;2,4000;NULL;0
001-003-00037;Caja Madera 4 Latitas Vacia;Unidad;Planta;NULL;1;NULL;0,00;2,4000;NULL;0
001-003-00038;Cilindro 4 Latitas Vacio;Unidad;Planta;NULL;1;NULL;0,00;6,5000;NULL;0
001-003-00039;Etiqueta Grande Rosaline Night;Unidad;Planta;NULL;1;NULL;0,00;0,0400;NULL;0
001-003-00040;Etiqueta Grande Tropical Fusion;Unidad;Planta;NULL;1;NULL;0,00;0,0400;NULL;0
001-003-00041;Etiqueta Grande  Orange Star;Unidad;Planta;NULL;1;NULL;0,00;0,0400;NULL;0
001-003-00042;Etiqueta Grande Golden Rooibos;Unidad;Planta;NULL;1;NULL;0,00;0,0400;NULL;0
001-003-00043;Etiqueta Grande Green Jade;Unidad;Planta;NULL;1;NULL;0,00;0,0400;NULL;0
001-003-00044;Etiqueta Grande Flowers Y Kisses;Unidad;Planta;NULL;1;NULL;0,00;0,0400;NULL;0
001-003-00045;Etiqueta Grande Lavender Mint;Unidad;Planta;NULL;1;NULL;0,00;0,0400;NULL;0
001-003-00046;Etiqueta Grande Mystic Rose;Unidad;Planta;NULL;1;NULL;0,00;0,0400;NULL;0
001-003-00047;Etiqueta Grande Butterfly Floral;Unidad;Planta;NULL;1;NULL;0,00;0,0400;NULL;0
001-003-00048;Etiqueta Grande Milky Oolong;Unidad;Planta;NULL;1;NULL;0,00;0,0400;NULL;0
001-003-00049;Etiqueta Grande Caribbean Punch;Unidad;Planta;NULL;1;NULL;0,00;0,0400;NULL;0
001-003-00050;Cofres 6 Espacios Con Tapa;Unidad;Planta;NULL;1;NULL;0,00;6,0000;NULL;0
001-003-00051;Divisiones De Carton;Unidad;Planta;NULL;1;NULL;2929,00;0,0300;NULL;87,87
001-003-00052;Frascos Para Bubbletea;Unidad;Planta;NULL;1;NULL;440,00;0,4900;NULL;215,6
001-003-00053;Funda Dorada 13x21;Unidad;Planta;NULL;1;NULL;44,00;0,0500;NULL;2,2
001-003-00054;Funda Eco Food Tippytea (500);Unidad;Planta;NULL;1;NULL;18231,00;0,0259;NULL;472,91214
001-003-00055;Funda Plateada Antigua 13x21;Unidad;Planta;NULL;1;NULL;0,00;0,1100;NULL;0
001-003-00056;Funda Mate;Unidad;Planta;NULL;1;NULL;42,00;0,3400;NULL;14,28
001-003-00057;Funda Tippytea Amarilla 50gr;Unidad;Planta;NULL;1;NULL;2544,00;0,4900;NULL;1246,56
001-003-00058;Funda Zipper Transparente Grande 9x13;Unidad;Planta;NULL;1;NULL;400,00;0,1250;NULL;50
